CompanyName,ContractLength,MonthsSinceSignup,TotalTransactions,AvgTransactionValue,TotalRevenue,ProductUsageFrequency,SupportTicketsOpened,SupportTicketResolutionTime,EmailOpenRate,AccountManagerCalls,ChurnStatus
Photolist,16,58,56,529.79,439779.21,Daily,42,0.04,0.38,2,0
Tagfeed,5,46,477,598.48,622753.1,Monthly,45,9.11,0.74,8,0
Viva,34,3,191,810.21,575384.08,Weekly,9,12.47,0.09,11,1
Oyope,2,99,260,630.57,584376.68,Weekly,16,16.68,0.68,9,0
Leexo,9,33,465,693.38,427296.22,Daily,25,2.95,0.58,17,1
Divanoodle,13,87,13,995.27,99958.54,Monthly,9,8.78,0.02,7,0
Linklinks,16,32,347,192.84,702651.78,Daily,35,16.52,0.54,17,0
Yamia,26,100,945,40.13,132965.16,Weekly,2,10.14,0.7,6,0
Plajo,30,30,48,435.25,766682.76,Weekly,19,22.17,0.78,11,1
Livetube,28,51,36,558.35,158501.01,Monthly,31,3.08,0.03,9,1
JumpXS,8,117,957,758.38,617561.09,Daily,26,0.79,0.45,18,0
Realcube,20,46,893,660.64,320197.51,Monthly,24,20.81,0.14,8,1
Skiptube,3,23,689,356.13,220332.86,Daily,34,7.59,0.05,14,0
Jabbertype,4,110,580,701.62,863915.02,Monthly,49,8.53,0.11,2,1
Dabshots,12,14,71,87.36,710146.53,Weekly,33,1.62,0.68,20,0
Skinder,32,12,721,212.3,839524.4,Weekly,15,17.77,0.27,20,0
Bluejam,13,37,222,258.71,556055.97,Daily,23,5.35,0.34,18,1
Ooba,22,52,725,445.99,627859.59,Monthly,19,20.78,0.41,18,0
Skibox,3,29,974,967.57,842186.39,Weekly,7,0.08,0.06,2,0
Fadeo,18,78,86,272.28,784999.52,Daily,35,4.03,0.07,11,0
Devify,32,27,664,943.81,70660.15,Daily,28,15.9,0.95,11,1
Topicshots,18,64,860,944.66,826785.11,Daily,35,2.95,0.45,9,0
JumpXS,9,75,582,330.87,348012.03,Daily,37,19.78,0.24,15,1
Feednation,33,12,504,571.47,35688.48,Weekly,41,8.77,0.67,2,1
Twitternation,16,81,805,319.36,488221.74,Daily,36,11.11,0.69,10,0
Divape,2,49,77,787.47,114784.07,Weekly,38,14.39,0.22,17,0
Oyonder,22,6,933,336.28,231756.91,Weekly,33,17.39,0.93,8,1
Eidel,19,48,975,987.49,416173.56,Weekly,2,22.34,0.56,19,1
Bubbletube,11,54,427,385.51,762721.53,Monthly,1,23.45,0.46,10,1
Kazu,21,96,916,49.34,226143.61,Monthly,29,0.38,0.32,4,1
Brainverse,23,37,504,812.09,235890.96,Daily,29,9.79,0.97,6,0
Twinte,3,112,324,293.92,559195.99,Monthly,9,21.21,0.46,3,0
Kayveo,32,78,186,396.12,550789.63,Monthly,38,14.89,0.07,20,0
Centimia,25,92,520,319.39,980049.64,Monthly,6,12.09,0.9,6,0
Photospace,18,52,313,60.19,861636.83,Weekly,13,10.16,0.78,11,1
Blogtags,11,71,335,230.64,987693.85,Daily,49,19.94,0.99,9,1
Voomm,34,70,78,364.01,804712.56,Daily,40,20.12,0.79,13,1
Pixope,32,63,661,480.79,814038.64,Daily,40,0.36,0.76,6,1
Yodel,12,53,779,240.71,271770.95,Monthly,26,8.29,0.91,2,0
Brainlounge,31,56,781,769.18,804067.51,Monthly,50,18.77,0.99,12,1
Jaxnation,35,109,291,284.94,232429.87,Weekly,27,9.92,0.94,20,0
Skiptube,15,32,144,467.66,691239.14,Daily,41,7.9,1.0,12,0
Yakidoo,20,57,570,362.46,145352.86,Daily,3,3.61,0.76,16,0
Pixope,17,50,647,129.64,812211.16,Weekly,31,23.65,0.87,7,0
Avavee,34,59,528,2.95,70166.87,Daily,27,17.92,0.94,15,0
Zoonder,7,52,226,812.25,127688.56,Daily,0,11.9,0.33,13,1
Topicstorm,15,116,438,2.71,46500.09,Daily,41,19.08,0.39,6,1
Thoughtstorm,9,24,99,129.89,121864.31,Monthly,19,12.22,0.44,10,0
Edgetag,1,101,668,582.3,835771.29,Weekly,39,15.16,0.59,1,0
Gabcube,34,53,303,822.94,165490.7,Weekly,34,23.96,0.81,15,0
Twimbo,29,106,490,698.01,371491.83,Weekly,17,20.36,0.92,0,1
Thoughtmix,21,56,213,855.53,339433.77,Daily,42,6.98,0.12,14,0
Eidel,20,48,170,390.56,182370.42,Daily,4,20.33,0.81,6,0
Centimia,7,91,485,543.71,853630.19,Daily,19,4.64,0.16,5,1
LiveZ,12,14,822,690.84,749001.62,Weekly,33,10.3,0.66,16,1
JumpXS,6,19,126,893.86,6061.07,Daily,19,14.34,0.01,16,1
Jaxbean,32,7,260,634.35,341119.83,Daily,23,10.55,0.11,14,1
Trupe,2,111,704,480.8,378207.79,Monthly,35,22.75,0.61,14,0
Jabberbean,6,27,634,581.22,894901.14,Daily,31,21.47,0.22,11,1
Viva,29,45,48,941.9,396181.79,Weekly,50,2.55,0.71,3,0
Photolist,2,35,126,908.67,460491.61,Weekly,28,12.06,0.3,4,0
Dazzlesphere,27,96,140,397.71,120597.94,Monthly,49,14.23,0.9,11,1
Oloo,9,90,546,517.75,625915.96,Monthly,7,23.27,0.3,12,0
Photobug,11,53,935,378.7,315801.25,Monthly,5,15.28,0.68,8,0
Blogtags,26,29,509,934.13,486937.18,Weekly,16,20.22,0.55,11,1
Buzzdog,32,70,166,119.77,24050.84,Weekly,34,21.65,0.57,18,1
Voonder,36,27,506,870.7,195031.78,Weekly,48,9.3,0.65,17,0
Skalith,26,94,684,43.57,147077.82,Weekly,47,20.05,0.02,15,0
Fanoodle,6,99,717,576.01,280404.24,Monthly,28,11.41,0.42,14,1
Muxo,27,42,920,430.09,445108.12,Monthly,23,4.95,0.85,2,0
Ntags,16,80,661,514.1,974305.93,Monthly,34,0.39,0.41,9,1
Voolith,18,32,256,915.73,978001.32,Monthly,17,21.16,0.61,2,0
