CompanyName,ContractLength,MonthsSinceSignup,TotalTransactions,AvgTransactionValue,TotalRevenue,ProductUsageFrequency,SupportTicketsOpened,SupportTicketResolutionTime,EmailOpenRate,AccountManagerCalls,ChurnStatus
TechCorp,24,10,50,100,5000,Daily,2,1,0.8,5,0
GreenTech,12,8,30,120,3600,Monthly,1,2,0.6,3,0
BlueOcean,36,15,70,90,6300,Weekly,3,3,0.9,6,0
PurpleInc,18,12,45,110,4950,Daily,4,4,0.7,4,0
RedWave,24,18,60,85,5100,Weekly,5,5,0.5,2,0
YellowStar,12,6,20,150,3000,Monthly,2,6,0.4,1,1
OrangeSun,36,24,80,80,6400,Daily,6,7,0.3,1,1
BlackForest,18,9,35,130,4550,Weekly,1,8,0.2,0,1
WhiteMountain,24,11,55,95,5225,Monthly,3,9,0.1,0,1
GreyRiver,12,7,25,140,3500,Daily,4,10,0.9,5,0
BrownHill,36,19,75,70,5250,Weekly,7,11,0.6,3,0
SilverLake,18,13,40,125,5000,Monthly,5,12,0.8,4,0
GoldCoast,24,14,65,85,5525,Daily,8,13,0.5,2,0
BronzeIsland,12,5,15,160,2400,Weekly,3,14,0.7,1,1
CopperBay,36,22,90,65,5850,Monthly,9,15,0.4,0,1
IronCliff,18,10,38,135,5130,Daily,6,16,0.3,0,1
ZincRidge,24,17,58,90,5220,Weekly,10,17,0.2,0,1
TinHill,12,4,22,145,3180,Monthly,5,18,0.1,0,1
LeadMountain,36,20,82,60,4920,Daily,11,19,0.9,5,0
BismuthRiver,18,14,42,120,5040,Weekly,12,20,0.6,3,0
PoloniumHill,24,16,62,80,4960,Monthly,13,21,0.5,2,0
NovaTech,20,15,45,110,4950,Daily,7,11,0.85,3,0
EclipseInc,22,18,50,115,5775,Weekly,9,12,0.95,4,0
ApexCorp,28,21,75,100,7500,Monthly,14,13,0.65,1,0
PulseCo,30,23,85,105,8955,Daily,16,14,0.8,2,0
LuminaGroup,32,25,95,110,10450,Weekly,18,15,0.75,3,0
SpectraPro,34,27,105,115,12075,Monthly,20,16,0.7,1,0
ParagonSystems,36,29,115,120,13800,Daily,22,17,0.85,4,0
FusionTech,38,31,125,125,15625,Weekly,24,18,0.9,2,0
